snapshot_id,fold_id,anchor_role,block_id,anchor_utc,cutoff_utc,cell_id,row,column,clipped_area_m2,base_event_count,parent_row,parent_column,parent_event_count,estimate_source,status,raw_mc,main_common_mc4_training_allowed,exclude_indeterminate_training_allowed,supported_area_contributor
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000006_c+0000002,6,2,249287979377.55872,34,3,1,69,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000006_c+0000003,6,3,32419323521.00597,1,3,1,69,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000005,7,-5,186851169308.37936,74,3,-3,75,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000004,7,-4,250000000000.0,61,3,-2,166,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000003,7,-3,250000000000.0,46,3,-2,166,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000002,7,-2,250000000000.0,120,3,-1,807,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c-0000001,7,-1,250000000000.0,142,3,-1,807,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000000,7,0,250000000000.0,56,3,0,158,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000001,7,1,250000000000.0,68,3,0,158,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000002,7,2,191666483395.32416,34,3,1,69,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000007_c+0000003,7,3,2298776648.082298,0,3,1,69,not_estimable,indeterminate,,True,False,False
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000006,8,-6,15385288772.278814,38,4,-3,1737,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000005,8,-5,232223638076.97324,779,4,-3,1737,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000004,8,-4,250000000000.0,90,4,-2,784,parent_1000km,supported,3.3,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000003,8,-3,250000000000.0,69,4,-2,784,parent_1000km,supported,3.3,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000002,8,-2,250000000000.0,148,4,-1,330,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c-0000001,8,-1,249425621182.58255,146,4,-1,330,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c+0000000,8,0,249737666957.76474,170,4,0,415,parent_1000km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c+0000001,8,1,250000000000.0,220,4,0,415,base_500km,supported,3.2,True,True,True
C_DEV_2000_2004__I1,C_DEV_2000_2004,inner_block_start,I1,1984-12-31T16:00:00.000000Z,1984-12-30T16:00:00.000000Z,g500000000_r+0000008_c+0000002,8,2,140587143973.97015,1036,4,1,1316,base_500km,supported,3.6,True,True,True
