magnitude_bin,episode_id,anchor_event_id,anchor_time_utc,anchor_magnitude,maximum_magnitude,member_count,member_time_min_utc,member_time_max_utc,member_event_ids_sha256,member_event_ids
m5_6,31cdcd2194e79bee6d4b57cbb8bc0feb7f98a1830ac30060009a5c3906689cca,eqv1_ecijsnikrvdinfyndyvcouvtkl,1996-09-24T19:24:46Z,5.7,5.7,1,1996-09-24T19:24:46Z,1996-09-24T19:24:46Z,b20f410e5c50215f954c67a1ae1a6c81ccf9665a8e544e715acf01d07248652d,eqv1_ecijsnikrvdinfyndyvcouvtkl
m5_6,6182c0136fc55b44c14c9ac94f7056180c2a7ee93553712c01c732130799ef12,eqv1_zucv4nodictzslbzqu5lsz6wnk,1996-10-08T17:28:18Z,5.0,5.0,1,1996-10-08T17:28:18Z,1996-10-08T17:28:18Z,f2c61abd51259ddddb7cb0a1ae7c910a1be97268be3ad60c6652440a6a3b3c3b,eqv1_zucv4nodictzslbzqu5lsz6wnk
m5_6,b72d11bf35eb876df9f14c1bfcf0f96e6f8e18b7ed6dde5478e452de394d0f1e,eqv1_qxi4xoedtrwcssivnlh4p3gkyx,1996-11-19T16:19:08Z,5.0,5.1,2,1996-11-19T16:19:08Z,1996-11-21T13:37:46Z,cb0b7583d27214b6503061c1f94f1e97177b5cd6e6ffe0c636816fddf3830235,eqv1_qxi4xoedtrwcssivnlh4p3gkyx|eqv1_dtskon3vzw4xxbfjwpmtk7shhc
m5_6,88d9d7204b80414e2f3844d9e177800b38e2792debda0a86fcabce28f9087f75,eqv1_wz5dfozv47ilkgp5ksmmetipqe,1996-11-23T01:59:41Z,5.0,5.0,1,1996-11-23T01:59:41Z,1996-11-23T01:59:41Z,a76f1c98fdb934545fe00256290d183303e87570c97dea94a7bd899d3de1dbe5,eqv1_wz5dfozv47ilkgp5ksmmetipqe
m5_6,67efe5a57579318c5189ff44ce426ec24fefceb1bdf86c5f31c11e8fd37a8e21,eqv1_ixg72t5gom6xlwdu7kpitz5kfh,1996-12-21T08:39:39Z,5.5,5.5,1,1996-12-21T08:39:39Z,1996-12-21T08:39:39Z,a99001aaaa012f052370c6f7262609100ef0c22b83b7a0fd7b64c80f916ec801,eqv1_ixg72t5gom6xlwdu7kpitz5kfh
m5_6,ae6c0203ec5259cac7880a4142438177087b84dfdf5dbffb3c947189e4980703,eqv1_gdzurywsdrtiu6orzybjrmflce,1997-01-20T03:31:08Z,5.0,5.0,1,1997-01-20T03:31:08Z,1997-01-20T03:31:08Z,95bd2619ed3a1add51da8814ab444615714083015caf5deb389f7644e55295a4,eqv1_gdzurywsdrtiu6orzybjrmflce
m5_6,95cd40f6ebea663db0fa6219fa9e459cbe07e5ecb8902b868b646f1baa2aa10b,eqv1_mhqkhy34tzplmjn5losdxn5yag,1997-01-25T02:38:53Z,5.1,5.5,2,1997-01-25T02:38:53Z,1997-01-30T09:59:02Z,6aa43aa9b1c93d2a43a3d6d45d56b334335cd889b70c7a1094e6d335f22c0c2d,eqv1_mhqkhy34tzplmjn5losdxn5yag|eqv1_jw26bll7hzpqfe3frxghoqrwiu
m5_6,207feb400b78b4747cd35c8743a2c588ff06adc420450b772e6993598aa09ba7,eqv1_rrjeiim4fiouu5uuwbgqpi35s4,1997-01-29T08:20:16Z,5.1,5.3,3,1997-01-29T08:20:16Z,1997-02-21T14:29:12Z,5df153b191330a8d25f7edbdd2acc79d86a2f6813b8f4ad46c1aceee04e52589,eqv1_rrjeiim4fiouu5uuwbgqpi35s4|eqv1_5ars6vhmcas33ugxttwcwiauyg|eqv1_tqi2usyoy3h24wbcq6f63maaff
m5_6,7b5ae48297392c3d0db7749ee8a46bb0629b807378c31dbd753a3977d6010f08,eqv1_74jqp2camykqlpmicxwcswzhfp,1997-02-09T11:28:18Z,5.4,5.4,1,1997-02-09T11:28:18Z,1997-02-09T11:28:18Z,c47e41f505a9e8191be32eff3119c23eecf6b07c5cf569b9d0b7cdca15d3c5c3,eqv1_74jqp2camykqlpmicxwcswzhfp
m5_6,5c34c618f09e024b8d8ed31c8fcd2f785cb1ab7e961d4fad5188c0bd760257a0,eqv1_bcmazdp4o6qc3aqiboo3nnnzxu,1997-03-21T21:04:49Z,5.4,5.4,1,1997-03-21T21:04:49Z,1997-03-21T21:04:49Z,53c44f43f2a3711946bc551ddd1144492c9b3a40f52e55e923ba3d328c165634,eqv1_bcmazdp4o6qc3aqiboo3nnnzxu
m5_6,7f73c6a9947d47f5b42c5eb0214ec8b6609a6c3c4ac8a0c4f56bc69b783e3cca,eqv1_mc6k3cerzaaj6dcxwwyedh4n7n,1997-04-06T12:58:16Z,5.4,5.5,2,1997-04-06T12:58:16Z,1997-04-12T21:09:09Z,c964f3549aeb4740f200cb8c635d21d2078dcf0e24f90732768bee3c50b31524,eqv1_mc6k3cerzaaj6dcxwwyedh4n7n|eqv1_6tix6jnfxned6pue66yckzlpac
m5_6,85fe064df6bb6b0d4237e03845811836a90b6319ce8d5ec43c06d0bd372c28e9,eqv1_2sxcd3zcir6evsxt2c2xfahgm6,1997-05-16T11:18:05Z,5.3,5.3,1,1997-05-16T11:18:05Z,1997-05-16T11:18:05Z,c709946b4d6023477adff86e20817e72d0a6a9fe6e488122393483447e0a57e3,eqv1_2sxcd3zcir6evsxt2c2xfahgm6
m5_6,c4ee748f8bf5cac7e9fe42fefef1f936d6c94acb450870c0dde94420fa3a00c0,eqv1_sarls7h5k2bxszqv7zkpgta7lz,1997-05-17T03:58:22Z,5.4,5.4,1,1997-05-17T03:58:22Z,1997-05-17T03:58:22Z,4566bdf986c40e366fb532853e59872839d47c4883b147f09703c33b2685510a,eqv1_sarls7h5k2bxszqv7zkpgta7lz
m5_6,5141a0679d950ba8db95f92ea4c801708332292415922a3c6e2095282ca23cad,eqv1_fniguxtmjp2dz4d4hab3ueuloo,1997-05-30T17:54:54Z,5.3,5.3,1,1997-05-30T17:54:54Z,1997-05-30T17:54:54Z,159b59bd15c6ceef099c8ffb563d1d3691afe8474bcdc85f88b8a6428af8bf0e,eqv1_fniguxtmjp2dz4d4hab3ueuloo
m5_6,809115cd434c96d307519a8e9f354112960d7ab0cd61823dc9ae8087342ded6d,eqv1_cokwbiyznqep3x4jagc4ihwm27,1997-05-31T06:51:01Z,5.2,5.2,1,1997-05-31T06:51:01Z,1997-05-31T06:51:01Z,ca7ae102275adc6c2c36a6270e46df31aa06bf9e5bd38d1adefdc8d648387aa5,eqv1_cokwbiyznqep3x4jagc4ihwm27
m5_6,a78c6959b6bcf244eba58dbb4cef5925baedda80ba40223f5bd40702945b5d66,eqv1_foeirjn3sfz2zdqh74jgbolnyd,1997-06-24T09:24:46Z,5.1,5.1,1,1997-06-24T09:24:46Z,1997-06-24T09:24:46Z,7d6a2eea6438f4e258b91ae00b20b204c70e8b2bbd592ca0eca6ee78e327063e,eqv1_foeirjn3sfz2zdqh74jgbolnyd
m5_6,d51f92a6186c80abcbbd8b386f7f0a7dc3b377d132db64b8d0bb053d63818ac0,eqv1_mizfiaeb7uipmzo7mmxqotfokh,1997-08-09T04:48:01Z,5.2,5.2,1,1997-08-09T04:48:01Z,1997-08-09T04:48:01Z,41540e87cccea603a973d4c17092cc027767455a6a44a9269708682d52fe0953,eqv1_mizfiaeb7uipmzo7mmxqotfokh
m5_6,394a77163e63440e082ddd430afae73b1984f9e4eaca8cd699580b412ba2b2ba,eqv1_u2e2k5wrxtjg5b2c77qf5pbcko,1997-08-13T08:13:31Z,5.2,5.2,1,1997-08-13T08:13:31Z,1997-08-13T08:13:31Z,3da4bd193c242d34506c553928059481f54389abfe17e22dae104e1643854797,eqv1_u2e2k5wrxtjg5b2c77qf5pbcko
m5_6,b4ef17921199ba945cb890f8ab280d1be71cfb7878ef72d98fef84de5a21a96a,eqv1_a7slcq5xf7xkr22lmammkugk7o,1997-10-15T20:30:51Z,5.1,5.1,1,1997-10-15T20:30:51Z,1997-10-15T20:30:51Z,bf968bfeffa60ab74008bb8abf99354d3655a4cbc16dfd478271b2877da2f47e,eqv1_a7slcq5xf7xkr22lmammkugk7o
m5_6,64096bf974de80d2ae5e8e3ca472d23201c4ff1c166f7f607572375d68bcf4fa,eqv1_4ryijbrvxqe7inigpfbfty6h4m,1997-10-17T17:35:09Z,5.5,5.5,1,1997-10-17T17:35:09Z,1997-10-17T17:35:09Z,157c62da251f74dad335bbecf9a38d1300011cdb31ef1bbfd2283863988e7fa7,eqv1_4ryijbrvxqe7inigpfbfty6h4m
m5_6,b8967a60e3724f06c401318b1e23863989008518a8c59c2fe52ef6fdc76b1ba2,eqv1_ehgsmokg5ri7dbyune7v7wiw77,1997-10-21T06:32:33Z,5.0,5.0,1,1997-10-21T06:32:33Z,1997-10-21T06:32:33Z,1878c9f5237507984ed079ff1f3bfb1f3add50ad0f38cbbb877f1629c69efbc5,eqv1_ehgsmokg5ri7dbyune7v7wiw77
